"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: HL7 v2 Mapping","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping"
"DiagnosticReport","","Report
TestResultResultsLabsLaboratoryLab ResultLab Report","",0,*,"","","","","obf-lab-CBCWAutoDifferentialPanel","Complete blood count (CBC) with auto differential panel. Includes various measures of red blood cells, platelets, and various types of white blood cells and other related measures, such as hemoglobin. The components of this panel are not entirely standardized, so the definition of the CBC includes tests that are optional, or performed by certain laboratories but not others. Instances typically will include a subset of the listed panel members.","This is intended to capture a single report and is not suitable for use in displaying summary information that covers multiple reports.  For example, this resource has not been designed for laboratory cumulative reporting formats nor detailed structured reports for sequencing.","","","","","","","","",,,,,"",,,,"DiagnosticReport",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-6:A resource should have narrative for robust management {text.div.exists()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}","Event","ORU -> OBR","Entity. Role, or Act","Observation[classCode=OBS, moodCode=EVN]"
"DiagnosticReport.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"DiagnosticReport.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"",""
"DiagnosticReport.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"",""
"DiagnosticReport.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"preferred","A human language.","http://hl7.org/fhir/ValueSet/languages","",,,,"Resource.language",0,1,"",""
"DiagnosticReport.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"","","Act.text?"
"DiagnosticReport.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"","","N/A"
"DiagnosticReport.result","obf-lab-PlateletMeanVolumeEntVolPtBldQnReesEckerLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-PlateletMeanVolumeEntVolPtBldQnReesEckerLabObs]]}
","PlateletMeanVolumeEntVolPtBldQnReesEckerLabObs: Platelet mean volume [Entitic volume] in Blood by Rees-Ecker","Platelet mean volume [Entitic volume] in Blood by Rees-Ecker.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-MyelocytesNCncPtBldQnLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-MyelocytesNCncPtBldQnLabObs]]}
","MyelocytesNCncPtBldQnLabObs: Myelocytes [#/volume] in Blood. Units not required by LOINC but are strongly recommended.","Myelocytes [#/volume] in Blood. Units not required by LOINC but are strongly recommended.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-MetamyelocytesNCncPtBldQnLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-MetamyelocytesNCncPtBldQnLabObs]]}
","MetamyelocytesNCncPtBldQnLabObs: Metamyelocytes [#/volume] in Blood","Metamyelocytes [#/volume] in Blood","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-NeutrophilsBandFormNCncPtBldQnLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-NeutrophilsBandFormNCncPtBldQnLabObs]]}
","NeutrophilsBandFormNCncPtBldQnLabObs: Band form neutrophils [#/volume] in Blood","Band form neutrophils [#/volume] in Blood","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-GranulocytesImmature100WBCNFrPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-GranulocytesImmature100WBCNFrPtBldQnAutoCntLabObs]]}
","GranulocytesImmature100WBCNFrPtBldQnAutoCntLabObs: Immature granulocytes/100 leukocytes in Blood by Automated count. LOINC does not specify that units are required.","Immature granulocytes/100 leukocytes in Blood by Automated count. LOINC does not specify that units are required.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-GranulocytesImmatureNCncPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-GranulocytesImmatureNCncPtBldQnAutoCntLabObs]]}
","GranulocytesImmatureNCncPtBldQnAutoCntLabObs: Immature granulocytes [#/volume] in Blood by Automated count. Units are not required","Immature granulocytes [#/volume] in Blood by Automated count. Units are not required","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-ErythrocytesNucleated100WBCRatioPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-ErythrocytesNucleated100WBCRatioPtBldQnAutoCntLabObs]]}
","ErythrocytesNucleated100WBCRatioPtBldQnAutoCntLabObs: Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Automated count. Units not required by LOINC but are strongly recommended.","Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Automated count. Units not required by LOINC but are strongly recommended.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-MorphologyImpPtBldNarLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-MorphologyImpPtBldNarLabObs]]}
","MorphologyImpPtBldNarLabObs: Morphology [Interpretation] in Blood Narrative","Morphology [Interpretation] in Blood Narrative.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-ErythrocyteDistributionWidthEntVolPtRBCQnLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-ErythrocyteDistributionWidthEntVolPtRBCQnLabObs]]}
","ErythrocyteDistributionWidthEntVolPtRBCQnLabObs: Erythrocyte distribution width [Entitic volume] by Automated count","Erythrocyte distribution width [Entitic volume] by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-PlateletDistributionWidthEntVolPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-PlateletDistributionWidthEntVolPtBldQnAutoCntLabObs]]}
","PlateletDistributionWidthEntVolPtBldQnAutoCntLabObs: Platelet distribution width [Entitic volume] in Blood by Automated count. Units not required by LOINC but are strongly recommended.","Platelet distribution width [Entitic volume] in Blood by Automated count. Units not required by LOINC but are strongly recommended.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-PlateletMeanVolumeEntVolPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-PlateletMeanVolumeEntVolPtBldQnAutoCntLabObs]]}
","PlateletMeanVolumeEntVolPtBldQnAutoCntLabObs: Platelet mean volume [Entitic volume] in Blood by Automated count. Units not required by LOINC but are strongly recommended.","Platelet mean volume [Entitic volume] in Blood by Automated count. Units not required by LOINC but are strongly recommended.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-NeutrophilsBandForm100WBCNFrPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-NeutrophilsBandForm100WBCNFrPtBldQnAutoCntLabObs]]}
","NeutrophilsBandForm100WBCNFrPtBldQnAutoCntLabObs: Band form neutrophils/​100 leukocytes in Blood by Automated count. Units not required by LOINC but are strongly recommended.","Band form neutrophils/​100 leukocytes in Blood by Automated count. Units not required by LOINC but are strongly recommended.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-Granulocytes100WBCNFrPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-Granulocytes100WBCNFrPtBldQnAutoCntLabObs]]}
","Granulocytes100WBCNFrPtBldQnAutoCntLabObs: Granulocytes/​100 leukocytes in Blood by Automated count","Granulocytes/​100 leukocytes in Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-LymphocytesVariant100WBCNFrPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-LymphocytesVariant100WBCNFrPtBldQnAutoCntLabObs]]}
","LymphocytesVariant100WBCNFrPtBldQnAutoCntLabObs: Variant lymphocytes/​100 leukocytes in Blood by Automated count. Units not required by LOINC but are strongly recommended.","Variant lymphocytes/​100 leukocytes in Blood by Automated count. Units not required by LOINC but are strongly recommended.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-OtherCells100WBCNFrPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-OtherCells100WBCNFrPtBldQnAutoCntLabObs]]}
","OtherCells100WBCNFrPtBldQnAutoCntLabObs: Other cells/​100 leukocytes in Blood by Automated count. Units not required by LOINC but are strongly recommended.","Other cells/​100 leukocytes in Blood by Automated count. Units not required by LOINC but are strongly recommended.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-NeutrophilsBandFormNCncPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-NeutrophilsBandFormNCncPtBldQnAutoCntLabObs]]}
","NeutrophilsBandFormNCncPtBldQnAutoCntLabObs: Band form neutrophils [#/​volume] in Blood by Automated count","Band form neutrophils [#/​volume] in Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-LymphocytesVariantNCncPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-LymphocytesVariantNCncPtBldQnAutoCntLabObs]]}
","LymphocytesVariantNCncPtBldQnAutoCntLabObs: Variant lymphocytes [#/​volume] in Blood by Automated count. Units not required by LOINC but are strongly recommended.","Variant lymphocytes [#/​volume] in Blood by Automated count. Units not required by LOINC but are strongly recommended.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-LeukocytesOtherNCncPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-LeukocytesOtherNCncPtBldQnAutoCntLabObs]]}
","LeukocytesOtherNCncPtBldQnAutoCntLabObs: Leukocytes other [#/​volume] in Blood by Automated count. Units not required by LOINC but are strongly recommended.","Leukocytes other [#/​volume] in Blood by Automated count. Units not required by LOINC but are strongly recommended.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-OtherCellsNCncPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-OtherCellsNCncPtBldQnAutoCntLabObs]]}
","OtherCellsNCncPtBldQnAutoCntLabObs: Other cells [#/​volume] in Blood by Automated count. Units not required by LOINC but are strongly recommended.","Other cells [#/​volume] in Blood by Automated count. Units not required by LOINC but are strongly recommended.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.imagingStudy","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ImagingStudy]]}
","Reference to full details of imaging associated with the diagnostic report","One or more links to full details of any imaging performed during the diagnostic investigation. Typically, this is imaging performed by DICOM enabled modalities, but this is not required. A fully enabled PACS viewer can use this information to provide views of the source images.","ImagingStudy and the image element are somewhat overlapping - typically, the list of image references in the image element will also be found in one of the imaging study resources. However, each caters to different types of displays for different types of purposes. Neither, either, or both may be provided.","","","","","","","","",,,,,"",,,,"DiagnosticReport.imagingStudy",0,*,"","","outboundRelationship[typeCode=COMP].target[classsCode=DGIMG, moodCode=EVN]"
"DiagnosticReport.media","","DICOM
SlidesScans","",0,*,"Y","","Y","BackboneElement {[]} {[]}
","Key images associated with this report","A list of key images associated with this report. The images are generally created during the diagnostic process, and may be directly of the patient, or of treated specimens (i.e. slides of interest).","","Many diagnostic services include images in the report as part of their service.","","","","","","","",,,,,"",,,,"DiagnosticReport.media",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OBX?","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.media.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"DiagnosticReport.media.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"DiagnosticReport.media.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"DiagnosticReport.media.comment","","","",0,1,"","","","string {[]} {[]}
","Comment about the image (e.g. explanation)","A comment about the image. Typically, this is used to provide an explanation for why the image is included, or to draw the viewer's attention to important features.","The comment should be displayed with the image. It would be common for the report to include additional discussion of the image contents in other sections such as the conclusion.","The provider of the report should make a comment about each image included in the report.","","","","","","","",,,,,"",,,,"DiagnosticReport.media.comment",0,1,"","",".inboundRelationship[typeCode=COMP].source[classCode=OBS, moodCode=EVN, code=""annotation""].value"
"DiagnosticReport.media.link","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Media]]}
","Reference to the image source","Reference to the image source.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.media.link",1,1,"","",".value.reference"
"DiagnosticReport.conclusion","","Report
","",0,1,"","","","string {[]} {[]}
","Clinical conclusion (interpretation) of test results","Concise and clinically contextualized summary conclusion (interpretation/impression) of the diagnostic report.","","Need to be able to provide a conclusion that is not lost among the basic result data.","","","","","","","",,,,,"",,,,"DiagnosticReport.conclusion",0,1,"","","OBX","inboundRelationship[typeCode=""SPRT""].source[classCode=OBS, moodCode=EVN, code=LOINC:48767-8].value (type=ST)"
"DiagnosticReport.conclusionCode","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Codes for the clinical conclusion of test results","One or more codes that represent the summary conclusion (interpretation/impression) of the diagnostic report.","","","","","","","","","",,"example","Diagnosis codes provided as adjuncts to the report.","http://hl7.org/fhir/ValueSet/clinical-findings","",,,,"DiagnosticReport.conclusionCode",0,*,"","","OBX","inboundRelationship[typeCode=SPRT].source[classCode=OBS, moodCode=EVN, code=LOINC:54531-9].value (type=CD)"
"DiagnosticReport.presentedForm","","","",0,*,"Y","","","Attachment {[]} {[]}
","Entire report as issued","Rich text representation of the entire result as issued by the diagnostic service. Multiple formats are allowed but they SHALL be semantically equivalent.","""application/pdf"" is recommended as the most reliable and interoperable in this context.","Gives laboratory the ability to provide its own fully formatted report for clinical fidelity.","","","","","","","",,,,,"",,,,"DiagnosticReport.presentedForm",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBX","text (type=ED)"
