"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"odh-PastOrPresentJob-model","","","",0,*,"","","","","","Related data elements for a current or previous job, as reported by the person, i.e., a work situation or position held for a specified time period. A person can have more than one job at the same time and multiple jobs over time, so the data related to each job must remain in the record in perpetuity. Each job should be recorded in a separate instance of PastOrPresentJob. A person’s job can be a social determinant of their health and information about a person’s job can support patient care, population health, and public health. In patient care, knowledge of a person’s past or present job(s) can impact recognition, diagnosis, management, and treatment of injuries and illnesses. These data also can be used for clinical decision support and to prompt discussion of preventive care measures. For example, a record of jobs that require prolonged time in the sun might prompt a health care provider to inquire if the person wears protective clothing or sunscreen while working. At a minimum, it is important to have a record of a person’s current job(s); i.e., the job(s) in which a person is engaged at the time that he or she presents to a health care provider, regardless of duration, and to retain that information over time. In the event a person recently stopped working (e.g. retired without another job, became unemployed or disabled and unable to work), the most recent job(s) is used instead of the current job(s).","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model",0,*,"",""
"odh-PastOrPresentJob-model.observationDerivedFromShr-core-QuestionnaireResponse-model","QuestionnaireResponse","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-QuestionnaireResponse-model]]}
","A structured set of questions and their answers. The questions are ordered and grouped into coherent subsets, corresponding to the structure of the grouping of the questionnaire being responded to.","A structured set of questions and their answers. The questions are ordered and grouped into coherent subsets, corresponding to the structure of the grouping of the questionnaire being responded to.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.observationDerivedFrom[x]",0,*,"",""
"odh-PastOrPresentJob-model.observationDerivedFromShr-core-Observation-model","Observation","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Observation-model]]}
","Represents the result of evaluations (measurements, tests, or questions) that have been performed.","Represents the result of evaluations (measurements, tests, or questions) that have been performed.
Observation has a value representing the result (answer), or an DataAbsentReason indicating why the value is not present. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.
For an Observation, the Code describes the aspect or property of the subject being observed or measured. The Code is the 'question code' that pairs to the 'answer' contained in the Value.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.observationDerivedFrom[x]",0,*,"",""
"odh-PastOrPresentJob-model.components","","","",0,1,"","","","BackboneElement {[]} {[]}
","Sub-observations that are part of this observation. A sub-observation contributs to the parent observation and are always treated a part of a single observation (they are not separable). However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.","Sub-observations that are part of this observation. A sub-observation contributs to the parent observation and are always treated a part of a single observation (they are not separable). However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent","","","",0,1,"","","","","A sub-observation contributing to the parent observation, expressed as separate code value pairs that share the same attributes. Examples include systolic and diastolic component observations for blood pressure measurement and multiple component observations for genetics observations. Component observations share the same attributes in the Observation resource as the primary observation and are always treated a part of a single observation (they are not separable). However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.","A sub-observation contributing to the parent observation, expressed as separate code value pairs that share the same attributes. Examples include systolic and diastolic component observations for blood pressure measurement and multiple component observations for genetics observations. Component observations share the same attributes in the Observation resource as the primary observation and are always treated a part of a single observation (they are not separable). However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.pastOrPresentIndustry","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/odh-PastOrPresentIndustry-model]]}
","The type(s) of business (industry) associated with the patient's past and present occupation(s).","The type(s) of business (industry) associated with the patient's past and present occupation(s).","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.pastOrPresentIndustry",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.workClassification","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/odh-WorkClassification-model]]}
","Type of compensation and sector for a person's job, such as 'paid work, self-employed' or 'voluntary work', as reported by the person.","Type of compensation and sector for a person's job, such as 'paid work, self-employed' or 'voluntary work', as reported by the person.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.workClassification",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.supervisoryLevel","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/odh-SupervisoryLevel-model]]}
","A coded indicator of responsibilities for directing work and personnel management responsibilities for a person's job, as reported by the person. For US military jobs, this is pay grade.","A coded indicator of responsibilities for directing work and personnel management responsibilities for a person's job, as reported by the person. For US military jobs, this is pay grade.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.supervisoryLevel",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.jobDuty","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/odh-JobDuty-model]]}
","A regular action performed by a person at a job, as reported by the person. For example, a Job Duty could be 'carry construction supplies' for a job with the Occupation 'construction laborer.'","A regular action performed by a person at a job, as reported by the person. For example, a Job Duty could be 'carry construction supplies' for a job with the Occupation 'construction laborer.'","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.jobDuty",0,*,"",""
"odh-PastOrPresentJob-model.components.observationComponent.occupationalHazard","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/odh-OccupationalHazard-model]]}
","A hazard that is specific to a person's work or work environment at one job and with which the person might come in contact, as reported by the person. A hazard is a source of potential harm to a person’s physical or mental health. Hazards can be biological, physical, psychological, chemical, or radiological in nature.","A hazard that is specific to a person's work or work environment at one job and with which the person might come in contact, as reported by the person. A hazard is a source of potential harm to a person’s physical or mental health. Hazards can be biological, physical, psychological, chemical, or radiological in nature.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.occupationalHazard",0,*,"",""
"odh-PastOrPresentJob-model.components.observationComponent.workSchedule","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/odh-WorkSchedule-model]]}
","Typical arrangement of working hours for a person's job, as reported by the person.","Typical arrangement of working hours for a person's job, as reported by the person.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.workSchedule",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.weeklyWorkDays","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/odh-WeeklyWorkDays-model]]}
","The average number of days per week that a person spends performing their duties for work.","The average number of days per week that a person spends performing their duties for work.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.weeklyWorkDays",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.dailyWorkHours","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/odh-DailyWorkHours-model]]}
","The average number of hours in a day that a person spends performing their duties for work.","The average number of hours in a day that a person spends performing their duties for work.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.dailyWorkHours",0,1,"",""
"odh-PastOrPresentJob-model.components.observationComponent.isCurrentJob","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/odh-IsCurrentJob-model]]}
","A flag indicating if this is the person's current job (at the time the resource was last updated).","A flag indicating if this is the person's current job (at the time the resource was last updated).","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.components.observationComponent.isCurrentJob",0,1,"",""
"odh-PastOrPresentJob-model.employer[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/odh-EmployerPerson-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Organization-model]]}
","A person or organization that hires the services of another.","A person or organization that hires the services of another.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.employer[x]",0,1,"",""
